id,person_id,planet1_name,planet2_name,aspect_type,degree_difference
60,13,Венера,Сатурн,Секстиль,62.2
61,13,Сатурн,Уран,Квадрат,88.5
62,13,Сатурн,Плутон,Секстиль,61.7
63,14,Солнце,Луна,Оппозиция,179.7
64,14,Луна,Сатурн,Оппозиция,177
65,14,Меркурий,Сатурн,Конъюнкция,2.3
66,14,Меркурий,Плутон,Квадрат,87.6
67,14,Венера,Нептун,Оппозиция,177.3
68,15,Солнце,Венера,Конъюнкция,1.5
69,15,Солнце,Нептун,Тригон,120.8
70,15,Луна,Нептун,Квадрат,90.7
71,15,Венера,Нептун,Тригон,119.2
72,15,Уран,Плутон,Квадрат,87.2
73,16,Луна,Меркурий,Конъюнкция,1
74,16,Луна,Марс,Тригон,119.2
75,16,Луна,Юпитер,Секстиль,60.6
76,16,Меркурий,Марс,Тригон,120.2
77,16,Меркурий,Юпитер,Секстиль,61.6
78,16,Венера,Уран,Квадрат,88.4
79,16,Венера,Нептун,Секстиль,57.9
80,16,Венера,Плутон,Секстиль,61.9
81,16,Марс,Юпитер,Секстиль,58.6
82,17,Марс,Уран,Конъюнкция,2.9
83,17,Сатурн,Уран,Конъюнкция,2.2
84,17,Сатурн,Плутон,Конъюнкция,0.5
85,17,Уран,Плутон,Конъюнкция,2.6
86,18,Солнце,Марс,Тригон,117.7
87,18,Меркурий,Венера,Секстиль,58.3
88,18,Меркурий,Юпитер,Секстиль,58.3
89,18,Венера,Юпитер,Конъюнкция,0
90,18,Марс,Нептун,Тригон,122.3
91,18,Сатурн,Уран,Секстиль,60.7
92,19,Солнце,Марс,Тригон,122.7
93,19,Солнце,Нептун,Конъюнкция,1.9
94,19,Луна,Уран,Тригон,117.3
95,19,Венера,Юпитер,Конъюнкция,0.7
96,19,Марс,Нептун,Тригон,120.8
97,19,Сатурн,Уран,Секстиль,60.8
98,19,Нептун,Плутон,Квадрат,91.3
99,20,Солнце,Луна,Конъюнкция,0.7
100,20,Меркурий,Марс,Конъюнкция,1.5
101,20,Меркурий,Плутон,Оппозиция,177.6
102,20,Венера,Марс,Секстиль,62.6
103,20,Венера,Юпитер,Секстиль,59.3
104,20,Венера,Сатурн,Квадрат,87.3
105,20,Венера,Плутон,Тригон,118.4
106,20,Марс,Плутон,Оппозиция,179
107,20,Юпитер,Плутон,Оппозиция,177.6
108,20,Сатурн,Нептун,Секстиль,57.3
109,21,Солнце,Марс,Квадрат,92.3
110,21,Луна,Нептун,Тригон,119
111,21,Луна,Плутон,Тригон,117.9
112,21,Венера,Сатурн,Секстиль,59.5
113,21,Марс,Уран,Секстиль,59.9
114,21,Сатурн,Нептун,Квадрат,92.5
115,21,Сатурн,Плутон,Квадрат,91.4
116,21,Нептун,Плутон,Конъюнкция,1.1
117,22,Луна,Сатурн,Квадрат,87.9
118,22,Венера,Марс,Секстиль,59.6
119,22,Венера,Сатурн,Квадрат,87.8
120,22,Венера,Нептун,Оппозиция,179
121,22,Марс,Уран,Квадрат,89.8
122,22,Марс,Нептун,Тригон,119.4
123,22,Сатурн,Уран,Тригон,117.9
124,22,Сатурн,Нептун,Квадрат,91.3
125,23,Солнце,Луна,Квадрат,87.4
126,23,Солнце,Юпитер,Конъюнкция,2.9
127,23,Луна,Венера,Секстиль,58.7
128,23,Луна,Юпитер,Квадрат,90.3
129,23,Луна,Нептун,Тригон,117.3
130,23,Меркурий,Сатурн,Оппозиция,178.6
131,23,Нептун,Плутон,Секстиль,60.9
132,24,Солнце,Луна,Секстиль,57.8
133,24,Солнце,Нептун,Тригон,119.8
134,24,Луна,Меркурий,Секстиль,62
135,24,Луна,Нептун,Секстиль,62
136,24,Венера,Марс,Тригон,122.6
137,24,Венера,Юпитер,Секстиль,62.7
138,24,Венера,Плутон,Квадрат,91.6
139,24,Марс,Юпитер,Секстиль,59.9
140,24,Сатурн,Плутон,Квадрат,91.7
141,25,Солнце,Уран,Квадрат,89.7
142,25,Луна,Венера,Оппозиция,177.5
143,25,Луна,Уран,Тригон,119.9
144,25,Венера,Марс,Квадрат,91.2
145,25,Венера,Уран,Секстиль,62.7
146,25,Юпитер,Сатурн,Тригон,122.8
147,25,Сатурн,Нептун,Квадрат,89.8
148,26,Луна,Венера,Тригон,120.7
149,26,Меркурий,Сатурн,Конъюнкция,0.2
150,26,Меркурий,Уран,Секстиль,62.6
151,26,Сатурн,Уран,Секстиль,62.4
152,26,Нептун,Плутон,Секстиль,61.2
153,27,Солнце,Уран,Тригон,122.4
154,27,Луна,Марс,Тригон,121.6
155,27,Луна,Уран,Квадрат,88.9
156,27,Меркурий,Венера,Секстиль,60.3
157,27,Юпитер,Плутон,Конъюнкция,2.1
158,27,Сатурн,Нептун,Тригон,120.5
159,28,Солнце,Марс,Секстиль,57.3
160,28,Луна,Юпитер,Тригон,119.7
161,28,Меркурий,Уран,Конъюнкция,2.1
162,28,Венера,Нептун,Секстиль,62.7
163,28,Венера,Плутон,Оппозиция,178.2
164,28,Нептун,Плутон,Тригон,119.1
165,29,Солнце,Сатурн,Тригон,120.8
166,29,Солнце,Уран,Секстиль,59.6
167,29,Луна,Меркурий,Тригон,123
168,29,Венера,Марс,Квадрат,88.8
169,29,Марс,Плутон,Тригон,120.7
170,29,Сатурн,Уран,Оппозиция,179.6
171,30,Луна,Уран,Секстиль,61.1
172,30,Меркурий,Венера,Конъюнкция,2.4
173,30,Меркурий,Марс,Секстиль,58.6
174,30,Меркурий,Юпитер,Оппозиция,179.1
175,30,Венера,Юпитер,Оппозиция,178.5
176,30,Марс,Юпитер,Тригон,122.3
177,31,Солнце,Юпитер,Квадрат,91
178,31,Солнце,Нептун,Оппозиция,177.8
179,31,Луна,Марс,Квадрат,88.5
180,31,Венера,Марс,Секстиль,60.4
181,31,Марс,Плутон,Квадрат,88
182,31,Юпитер,Нептун,Квадрат,91.2
183,31,Сатурн,Уран,Квадрат,89.5
184,31,Сатурн,Плутон,Квадрат,92.1
185,31,Уран,Плутон,Оппозиция,178.4
186,32,Меркурий,Марс,Секстиль,62.1
187,32,Венера,Сатурн,Тригон,120.7
188,32,Марс,Плутон,Конъюнкция,2.3
189,32,Нептун,Плутон,Секстиль,62.5
190,33,Солнце,Марс,Секстиль,60.7
191,33,Солнце,Юпитер,Секстиль,60.5
192,33,Луна,Нептун,Тригон,119.9
193,33,Меркурий,Венера,Секстиль,59
194,33,Меркурий,Сатурн,Секстиль,62
195,33,Меркурий,Уран,Секстиль,57.3
196,33,Марс,Юпитер,Тригон,121.2
197,33,Сатурн,Уран,Тригон,119.3
198,34,Солнце,Юпитер,Конъюнкция,2.3
199,34,Меркурий,Венера,Секстиль,61.3
200,34,Меркурий,Марс,Конъюнкция,2.5
201,34,Юпитер,Плутон,Тригон,118
202,34,Сатурн,Уран,Секстиль,57.2
203,34,Уран,Плутон,Квадрат,92.5
204,35,Меркурий,Венера,Конъюнкция,2.1
205,35,Меркурий,Сатурн,Квадрат,92.5
206,35,Меркурий,Плутон,Секстиль,58.2
207,35,Венера,Юпитер,Тригон,117.8
208,35,Венера,Плутон,Секстиль,60.3
209,35,Юпитер,Плутон,Секстиль,57.5
210,35,Сатурн,Нептун,Тригон,117.7
211,35,Уран,Нептун,Конъюнкция,2.8
212,36,Луна,Сатурн,Квадрат,89.6
213,36,Луна,Нептун,Тригон,120.5
214,36,Меркурий,Марс,Тригон,119
215,36,Венера,Плутон,Конъюнкция,0.3
216,37,Солнце,Луна,Секстиль,57.9
217,37,Солнце,Нептун,Тригон,120.4
218,37,Луна,Марс,Секстиль,58.9
219,37,Луна,Юпитер,Квадрат,90.6
220,37,Луна,Нептун,Оппозиция,178.3
221,37,Венера,Сатурн,Тригон,123
222,37,Венера,Уран,Секстиль,59.8
223,37,Марс,Нептун,Тригон,122.7
224,37,Юпитер,Нептун,Квадрат,91.1
225,38,Солнце,Сатурн,Тригон,119.5
226,38,Луна,Юпитер,Секстиль,62.2
227,38,Меркурий,Нептун,Квадрат,87.9
228,38,Марс,Уран,Тригон,119.4
229,38,Сатурн,Уран,Тригон,117.2
230,38,Нептун,Плутон,Секстиль,61.8
231,39,Солнце,Луна,Оппозиция,178.7
232,39,Солнце,Марс,Секстиль,57.7
233,39,Луна,Марс,Тригон,121
234,39,Венера,Плутон,Квадрат,88.6
235,40,Солнце,Луна,Тригон,120.9
236,40,Солнце,Марс,Секстиль,62.5
237,40,Венера,Плутон,Конъюнкция,1.7
238,40,Сатурн,Уран,Квадрат,87.7
239,41,Солнце,Венера,Конъюнкция,1.1
240,41,Солнце,Сатурн,Квадрат,88.5
241,41,Солнце,Уран,Квадрат,87.5
242,41,Луна,Меркурий,Оппозиция,177.5
243,41,Венера,Сатурн,Квадрат,87.4
244,41,Венера,Уран,Квадрат,88.7
245,41,Марс,Плутон,Оппозиция,179.8
246,42,Солнце,Луна,Оппозиция,179.4
247,42,Солнце,Нептун,Квадрат,87.4
248,42,Венера,Уран,Конъюнкция,0.7
249,42,Сатурн,Нептун,Секстиль,59.8
250,43,Луна,Марс,Секстиль,62.7
251,43,Луна,Нептун,Конъюнкция,1.8
252,43,Луна,Плутон,Тригон,118.8
253,43,Меркурий,Сатурн,Тригон,120
254,43,Меркурий,Уран,Оппозиция,177.6
255,43,Венера,Сатурн,Квадрат,91.5
256,43,Марс,Плутон,Оппозиция,178.5
257,43,Сатурн,Уран,Секстиль,62.4
258,43,Нептун,Плутон,Тригон,117
259,44,Солнце,Меркурий,Конъюнкция,2.2
260,44,Марс,Уран,Квадрат,89.1
261,44,Нептун,Плутон,Тригон,120.5
262,45,Луна,Уран,Квадрат,90.2
263,45,Меркурий,Юпитер,Оппозиция,177.4
264,45,Меркурий,Сатурн,Оппозиция,177.8
265,45,Марс,Плутон,Секстиль,59.6
266,45,Юпитер,Сатурн,Конъюнкция,0.4
267,45,Уран,Нептун,Тригон,120.6
268,46,Солнце,Уран,Секстиль,58.1
269,46,Луна,Плутон,Конъюнкция,2.6
270,46,Меркурий,Марс,Квадрат,90.7
271,46,Венера,Уран,Квадрат,90.1
272,46,Юпитер,Нептун,Секстиль,59.5
273,47,Луна,Юпитер,Тригон,122.8
274,47,Меркурий,Марс,Секстиль,61.4
275,47,Меркурий,Сатурн,Квадрат,91.3
276,47,Меркурий,Нептун,Оппозиция,177.4
277,47,Марс,Нептун,Тригон,121.3
278,47,Юпитер,Плутон,Тригон,117.9
279,47,Сатурн,Нептун,Квадрат,91.3
280,48,Солнце,Нептун,Секстиль,59
281,48,Луна,Меркурий,Квадрат,89.2
282,48,Луна,Марс,Секстиль,62.6
283,48,Луна,Плутон,Секстиль,61.1
284,48,Меркурий,Юпитер,Тригон,117.6
285,48,Венера,Плутон,Тригон,117.5
286,48,Юпитер,Плутон,Квадрат,92.1
287,48,Сатурн,Нептун,Квадрат,91.2
288,49,Солнце,Марс,Квадрат,89
289,49,Солнце,Нептун,Тригон,122.8
290,49,Венера,Уран,Тригон,120.2
291,49,Марс,Юпитер,Секстиль,60.7
292,49,Марс,Сатурн,Секстиль,59.3
293,49,Юпитер,Сатурн,Конъюнкция,1.4
294,50,Солнце,Сатурн,Секстиль,57.2
295,50,Венера,Уран,Тригон,118.5
296,50,Марс,Юпитер,Секстиль,62.6
297,50,Марс,Сатурн,Квадрат,88.8
298,51,Луна,Плутон,Конъюнкция,1.9
299,51,Юпитер,Плутон,Тригон,122.7
300,51,Сатурн,Нептун,Секстиль,58.5
301,52,Марс,Сатурн,Оппозиция,178.8
302,52,Юпитер,Плутон,Квадрат,93
303,52,Сатурн,Нептун,Конъюнкция,2.8
304,52,Нептун,Плутон,Секстиль,61.9
305,53,Солнце,Луна,Квадрат,89
306,53,Солнце,Сатурн,Конъюнкция,2.4
307,53,Солнце,Уран,Квадрат,92
308,53,Солнце,Нептун,Квадрат,90
309,53,Луна,Уран,Оппозиция,179
310,53,Луна,Нептун,Оппозиция,178.9
311,53,Луна,Плутон,Квадрат,92.6
312,53,Меркурий,Марс,Квадрат,91.3
313,53,Венера,Юпитер,Секстиль,61.4
314,53,Сатурн,Нептун,Квадрат,92.4
315,53,Уран,Нептун,Конъюнкция,2.1
316,53,Уран,Плутон,Квадрат,88.4
317,54,Солнце,Плутон,Тригон,122.4
318,54,Луна,Юпитер,Тригон,118.9
319,54,Меркурий,Нептун,Оппозиция,179.9
320,54,Марс,Уран,Секстиль,59
321,55,Луна,Сатурн,Оппозиция,177.5
322,55,Венера,Нептун,Тригон,120.3
323,55,Марс,Юпитер,Секстиль,60.2
324,55,Сатурн,Плутон,Квадрат,92.5
325,56,Солнце,Сатурн,Конъюнкция,2.4
326,56,Луна,Уран,Секстиль,59.2
327,56,Меркурий,Нептун,Конъюнкция,0.3
328,56,Венера,Марс,Квадрат,89.5
329,56,Венера,Юпитер,Квадрат,87.5
330,56,Марс,Юпитер,Оппозиция,177
331,57,Луна,Юпитер,Тригон,122.6
332,57,Меркурий,Сатурн,Тригон,118.7
333,57,Меркурий,Уран,Квадрат,88.1
334,57,Меркурий,Плутон,Оппозиция,179.2
335,57,Венера,Уран,Секстиль,62.7
336,57,Юпитер,Нептун,Квадрат,91
337,57,Сатурн,Плутон,Секстиль,62.1
338,57,Уран,Плутон,Квадрат,92.7
339,58,Солнце,Марс,Секстиль,60.9
340,58,Меркурий,Нептун,Секстиль,59.4
341,58,Венера,Марс,Квадрат,89.5
342,58,Венера,Сатурн,Конъюнкция,1.6
343,58,Венера,Уран,Квадрат,87.8
344,58,Венера,Плутон,Тригон,119.6
345,58,Марс,Сатурн,Квадрат,91
346,58,Марс,Уран,Оппозиция,177.2
347,58,Сатурн,Плутон,Тригон,118
348,59,Луна,Марс,Секстиль,61.4
349,59,Луна,Юпитер,Тригон,117.5
350,59,Луна,Плутон,Оппозиция,177.8
351,59,Меркурий,Сатурн,Квадрат,88.8
352,59,Марс,Плутон,Тригон,120.8
353,60,Солнце,Сатурн,Квадрат,91.8
354,60,Меркурий,Сатурн,Тригон,119.3
355,60,Венера,Плутон,Конъюнкция,0.5
356,60,Уран,Нептун,Секстиль,60.2
357,61,Солнце,Марс,Квадрат,91.3
358,61,Солнце,Юпитер,Квадрат,90.8
359,61,Солнце,Сатурн,Тригон,123
360,61,Меркурий,Плутон,Тригон,118.9
361,61,Марс,Юпитер,Оппозиция,178
362,62,Солнце,Луна,Оппозиция,179.5
363,62,Солнце,Нептун,Секстиль,62.6
364,62,Луна,Нептун,Тригон,118
365,62,Луна,Плутон,Оппозиция,177.1
366,62,Марс,Плутон,Тригон,122.8
367,62,Уран,Нептун,Квадрат,88.6
368,62,Нептун,Плутон,Секстиль,59.1
369,64,Солнце,Луна,Секстиль,62.8
370,64,Венера,Плутон,Тригон,120.2
371,65,Солнце,Сатурн,Квадрат,87.5
372,65,Луна,Венера,Тригон,121.7
373,65,Юпитер,Уран,Тригон,121.2
374,65,Юпитер,Нептун,Конъюнкция,3
375,66,Солнце,Луна,Секстиль,60.2
376,66,Меркурий,Сатурн,Секстиль,59.9
377,66,Меркурий,Уран,Тригон,120.5
378,66,Венера,Юпитер,Тригон,120.8
379,66,Марс,Плутон,Квадрат,90.8
380,66,Сатурн,Уран,Секстиль,60.5
381,67,Солнце,Луна,Секстиль,60.4
382,67,Меркурий,Юпитер,Квадрат,89.1
383,67,Венера,Плутон,Конъюнкция,2
384,67,Сатурн,Нептун,Секстиль,60.6
385,68,Солнце,Уран,Квадрат,91.8
386,68,Луна,Нептун,Конъюнкция,2.6
387,68,Меркурий,Юпитер,Квадрат,91.1
388,68,Венера,Сатурн,Тригон,119.2
389,68,Марс,Юпитер,Секстиль,62.9
390,69,Луна,Венера,Оппозиция,179.5
391,69,Луна,Юпитер,Секстиль,58.2
392,69,Луна,Уран,Тригон,120
393,69,Луна,Нептун,Квадрат,87.9
394,69,Луна,Плутон,Тригон,121.6
395,69,Меркурий,Сатурн,Секстиль,60.4
396,69,Венера,Юпитер,Тригон,121.3
397,69,Венера,Уран,Секстиль,60.5
398,69,Венера,Нептун,Квадрат,91.6
399,69,Венера,Плутон,Секстиль,58
400,69,Юпитер,Уран,Оппозиция,178.3
401,69,Уран,Плутон,Тригон,118.4
402,70,Солнце,Уран,Квадрат,88.1
403,70,Луна,Уран,Секстиль,61.1
404,70,Луна,Нептун,Секстиль,62.7
405,70,Марс,Плутон,Тригон,119.4
406,70,Юпитер,Нептун,Тригон,122.6
407,71,Солнце,Марс,Секстиль,61.6
408,71,Солнце,Нептун,Тригон,120.4
409,71,Солнце,Плутон,Секстиль,60
410,71,Луна,Меркурий,Секстиль,62.6
411,71,Луна,Юпитер,Конъюнкция,2.2
412,71,Меркурий,Юпитер,Секстиль,60.4
413,71,Венера,Сатурн,Секстиль,57.3
414,71,Марс,Нептун,Оппозиция,178
415,71,Марс,Плутон,Тригон,121.6
416,71,Нептун,Плутон,Секстиль,60.4
417,72,Луна,Венера,Оппозиция,179.9
418,72,Луна,Марс,Секстиль,58.4
419,72,Меркурий,Сатурн,Оппозиция,177.3
420,72,Меркурий,Уран,Тригон,119.4
421,72,Венера,Марс,Тригон,121.6
422,72,Сатурн,Уран,Секстиль,57.9
423,73,Солнце,Уран,Конъюнкция,0.6
424,73,Солнце,Плутон,Оппозиция,179.9
425,73,Меркурий,Венера,Секстиль,59.6
426,73,Марс,Сатурн,Конъюнкция,2.8
427,73,Юпитер,Сатурн,Конъюнкция,1.3
428,73,Уран,Плутон,Оппозиция,179.5
429,74,Солнце,Уран,Квадрат,89.1
430,74,Луна,Сатурн,Секстиль,61.9
431,74,Меркурий,Нептун,Квадрат,92.6
432,74,Венера,Марс,Конъюнкция,0.6
433,74,Нептун,Плутон,Секстиль,59.5
434,75,Солнце,Уран,Секстиль,62.9
435,75,Луна,Юпитер,Тригон,121.8
436,75,Венера,Марс,Оппозиция,178.1
437,75,Юпитер,Плутон,Квадрат,88.8
438,76,Солнце,Нептун,Секстиль,60.3
439,76,Луна,Венера,Оппозиция,177.3
440,76,Меркурий,Венера,Секстиль,59.6
441,76,Меркурий,Плутон,Секстиль,61.5
442,76,Венера,Плутон,Конъюнкция,2
443,76,Марс,Сатурн,Конъюнкция,1.4
444,76,Марс,Уран,Тригон,118.8
445,76,Сатурн,Уран,Тригон,120.2
446,77,Солнце,Меркурий,Конъюнкция,0.4
447,77,Луна,Юпитер,Тригон,121.6
448,77,Луна,Сатурн,Квадрат,87.8
449,77,Меркурий,Уран,Тригон,117.2
450,77,Марс,Нептун,Квадрат,90.7
451,78,Солнце,Сатурн,Тригон,119.8
452,78,Луна,Меркурий,Тригон,120.5
453,78,Марс,Нептун,Квадрат,90.7
454,79,Солнце,Венера,Конъюнкция,2.7
455,79,Солнце,Юпитер,Конъюнкция,1
456,79,Меркурий,Нептун,Квадрат,90.4
457,79,Венера,Юпитер,Конъюнкция,1.7
458,79,Марс,Сатурн,Конъюнкция,0.2
459,80,Луна,Меркурий,Оппозиция,179.4
460,80,Луна,Сатурн,Квадрат,92.4
461,80,Меркурий,Сатурн,Квадрат,87
462,80,Юпитер,Сатурн,Тригон,121.1
463,80,Сатурн,Уран,Тригон,117.3
464,80,Нептун,Плутон,Секстиль,62.8
465,81,Луна,Марс,Тригон,122.4
466,81,Луна,Плутон,Тригон,121.4
467,81,Меркурий,Сатурн,Тригон,118.3
468,81,Марс,Нептун,Секстиль,62.1
469,81,Юпитер,Сатурн,Конъюнкция,2.2
470,81,Юпитер,Плутон,Квадрат,87.9
471,82,Луна,Венера,Тригон,119
472,82,Луна,Марс,Оппозиция,179.7
473,82,Луна,Сатурн,Конъюнкция,2.8
474,82,Луна,Уран,Секстиль,62.6
475,82,Венера,Марс,Секстиль,60.7
476,82,Венера,Сатурн,Тригон,121.9
477,82,Венера,Уран,Оппозиция,178.4
478,82,Марс,Сатурн,Оппозиция,177.5
479,82,Марс,Уран,Тригон,117.7
480,82,Сатурн,Уран,Секстиль,59.8
481,83,Солнце,Марс,Квадрат,90.9
482,83,Солнце,Юпитер,Секстиль,62.2
483,83,Меркурий,Марс,Тригон,118.5
484,83,Юпитер,Сатурн,Тригон,117.4
485,83,Сатурн,Уран,Тригон,123
486,84,Меркурий,Венера,Секстиль,62.6
487,84,Венера,Уран,Тригон,117
488,84,Марс,Плутон,Секстиль,58.7
489,85,Меркурий,Уран,Квадрат,92.2
490,85,Венера,Уран,Секстиль,58.1
491,85,Марс,Нептун,Секстиль,62.4
492,85,Марс,Плутон,Тригон,122.1
493,85,Юпитер,Сатурн,Конъюнкция,0.7
494,85,Нептун,Плутон,Секстиль,59.8
495,86,Луна,Марс,Секстиль,61.7
496,86,Луна,Уран,Квадрат,87.4
497,86,Венера,Юпитер,Квадрат,88.9
498,86,Венера,Сатурн,Квадрат,88.5
499,86,Венера,Плутон,Квадрат,89.7
500,86,Юпитер,Сатурн,Оппозиция,177.4
501,86,Юпитер,Уран,Тригон,118.4
502,86,Юпитер,Плутон,Конъюнкция,0.7
503,86,Сатурн,Уран,Секстиль,59
504,86,Сатурн,Плутон,Оппозиция,178.1
505,86,Уран,Плутон,Тригон,119.1
506,87,Луна,Венера,Секстиль,57.2
507,87,Венера,Марс,Тригон,121.9
508,87,Нептун,Плутон,Секстиль,60.4
509,88,Солнце,Сатурн,Квадрат,89.7
510,88,Солнце,Нептун,Оппозиция,179.4
511,88,Луна,Марс,Оппозиция,178.6
512,88,Венера,Сатурн,Секстиль,60.6
513,88,Сатурн,Нептун,Квадрат,90.9
514,88,Уран,Плутон,Секстиль,58.3
515,88,Нептун,Плутон,Секстиль,57
516,89,Меркурий,Нептун,Оппозиция,177.4
517,89,Меркурий,Плутон,Тригон,119.5
518,89,Венера,Нептун,Оппозиция,178.2
519,89,Марс,Сатурн,Конъюнкция,1
520,89,Нептун,Плутон,Секстиль,57.9
521,90,Солнце,Уран,Квадрат,92
522,90,Венера,Сатурн,Конъюнкция,2.2
523,90,Юпитер,Нептун,Секстиль,60.5
524,90,Юпитер,Плутон,Конъюнкция,0.7
525,90,Нептун,Плутон,Секстиль,59.9
526,91,Солнце,Юпитер,Квадрат,93
527,91,Луна,Марс,Конъюнкция,2.9
528,91,Луна,Сатурн,Квадрат,88.8
529,91,Луна,Плутон,Оппозиция,179.4
530,91,Меркурий,Марс,Оппозиция,179.3
531,91,Меркурий,Юпитер,Тригон,117.1
532,91,Венера,Нептун,Квадрат,87.6
533,91,Сатурн,Плутон,Квадрат,90.7
534,91,Уран,Нептун,Тригон,120.1
535,92,Солнце,Плутон,Квадрат,92.5
536,92,Луна,Нептун,Тригон,119.6
537,92,Меркурий,Плутон,Квадрат,88.7
538,92,Венера,Сатурн,Квадрат,89.1
539,92,Марс,Юпитер,Секстиль,62.8
540,92,Юпитер,Сатурн,Секстиль,58.6
541,92,Уран,Плутон,Секстиль,60.9
542,94,Солнце,Уран,Оппозиция,178.3
543,94,Луна,Юпитер,Секстиль,59.1
544,94,Меркурий,Сатурн,Оппозиция,179.1
545,94,Меркурий,Нептун,Тригон,122.8
546,95,Солнце,Уран,Секстиль,57.9
547,95,Луна,Марс,Тригон,122.1
548,95,Венера,Сатурн,Конъюнкция,2.7
549,95,Венера,Уран,Квадрат,88.4
550,95,Венера,Плутон,Конъюнкция,0
551,95,Юпитер,Уран,Секстиль,60.9
552,95,Юпитер,Нептун,Секстиль,58.5
553,95,Сатурн,Уран,Квадрат,91.1
554,95,Сатурн,Нептун,Квадрат,88.7
555,95,Сатурн,Плутон,Конъюнкция,2.7
556,95,Уран,Нептун,Конъюнкция,2.4
557,95,Уран,Плутон,Квадрат,88.4
558,96,Солнце,Уран,Квадрат,92.2
559,96,Меркурий,Марс,Тригон,119.6
560,96,Меркурий,Уран,Тригон,118.6
561,96,Венера,Юпитер,Секстиль,61.7
562,96,Марс,Уран,Конъюнкция,1
563,97,Луна,Марс,Оппозиция,177.6
564,97,Луна,Сатурн,Тригон,119
565,97,Меркурий,Юпитер,Квадрат,87.2
566,97,Меркурий,Уран,Конъюнкция,1.6
567,97,Венера,Марс,Тригон,120.9
568,97,Юпитер,Уран,Квадрат,88.7
569,97,Юпитер,Нептун,Тригон,121
570,98,Луна,Сатурн,Секстиль,57.1
571,98,Венера,Уран,Конъюнкция,0.2
572,98,Марс,Юпитер,Квадрат,90.5
573,98,Юпитер,Нептун,Секстиль,58
574,99,Луна,Меркурий,Тригон,119.8
575,99,Луна,Венера,Квадрат,89.8
576,99,Луна,Сатурн,Секстиль,62.6
577,99,Меркурий,Сатурн,Секстиль,57.2
578,99,Марс,Нептун,Секстиль,61.9
579,99,Юпитер,Плутон,Квадрат,88.9
580,99,Уран,Плутон,Секстиль,61.9
581,100,Солнце,Юпитер,Квадрат,87.4
582,100,Луна,Меркурий,Секстиль,58
583,100,Луна,Сатурн,Секстиль,59.1
584,100,Луна,Уран,Секстиль,61
585,100,Луна,Нептун,Конъюнкция,1.6
586,100,Меркурий,Сатурн,Тригон,117.1
587,100,Меркурий,Уран,Тригон,118.9
588,100,Венера,Марс,Секстиль,58.5
589,100,Сатурн,Уран,Конъюнкция,1.9
